year,species,change
1990,Locustella naevia,100
1991,Locustella naevia,86.10031322
1992,Locustella naevia,81.99587986
1993,Locustella naevia,80.44188019
1994,Locustella naevia,66.88078727
1995,Locustella naevia,43.64591396
1996,Locustella naevia,48.89012654
1997,Locustella naevia,52.42016973
1998,Locustella naevia,40.27494691
1999,Locustella naevia,41.94099808
2000,Locustella naevia,43.8844861
2001,Locustella naevia,44.71839497
2002,Locustella naevia,45.95903737
2003,Locustella naevia,45.28058735
2004,Locustella naevia,52.74622953
2005,Locustella naevia,48.12578718
2006,Locustella naevia,48.76823267
2007,Locustella naevia,55.69843351
2008,Locustella naevia,48.74198637
2009,Locustella naevia,42.79189975
2010,Locustella naevia,43.94707343
2011,Locustella naevia,56.59492971
2012,Locustella naevia,48.10425176
2013,Locustella naevia,42.57747085
2014,Locustella naevia,40.0194661
2015,Locustella naevia,41.67836684
2016,Locustella naevia,34.55249646
2017,Locustella naevia,34.5256613
2018,Locustella naevia,29.20935553
2019,Locustella naevia,36.42170409
2020,Locustella naevia,25.98837934
2021,Locustella naevia,25.80995498
1990,Fringilla montifringilla,100
1991,Fringilla montifringilla,83.61936501
1992,Fringilla montifringilla,83.4092435
1993,Fringilla montifringilla,99.01911144
1994,Fringilla montifringilla,83.18440657
1995,Fringilla montifringilla,73.81483256
1996,Fringilla montifringilla,70.23790156
1997,Fringilla montifringilla,70.02039673
1998,Fringilla montifringilla,59.18592147
1999,Fringilla montifringilla,69.10623116
2000,Fringilla montifringilla,68.08203283
2001,Fringilla montifringilla,84.4535603
2002,Fringilla montifringilla,68.54458695
2003,Fringilla montifringilla,71.96122743
2004,Fringilla montifringilla,58.4531721
2005,Fringilla montifringilla,50.82204056
2006,Fringilla montifringilla,43.60555266
2007,Fringilla montifringilla,50.42683253
2008,Fringilla montifringilla,50.79651904
2009,Fringilla montifringilla,35.75785521
2010,Fringilla montifringilla,36.65454835
2011,Fringilla montifringilla,39.28067034
2012,Fringilla montifringilla,47.12509865
2013,Fringilla montifringilla,47.17259087
2014,Fringilla montifringilla,45.79411284
2015,Fringilla montifringilla,47.4652775
2016,Fringilla montifringilla,43.57789723
2017,Fringilla montifringilla,40.31001565
2018,Fringilla montifringilla,38.7246255
2019,Fringilla montifringilla,37.25225558
2020,Fringilla montifringilla,41.46648205
2021,Fringilla montifringilla,44.15395811
1990,Actitis hypoleucos,100
1991,Actitis hypoleucos,94.27834402
1992,Actitis hypoleucos,99.20323687
1993,Actitis hypoleucos,91.42522211
1994,Actitis hypoleucos,99.44531711
1995,Actitis hypoleucos,95.85676945
1996,Actitis hypoleucos,86.20827619
1997,Actitis hypoleucos,84.0596
1998,Actitis hypoleucos,86.17013493
1999,Actitis hypoleucos,88.20921337
2000,Actitis hypoleucos,80.41609779
2001,Actitis hypoleucos,72.1514317
2002,Actitis hypoleucos,75.08145883
2003,Actitis hypoleucos,83.24571222
2004,Actitis hypoleucos,80.75936913
2005,Actitis hypoleucos,83.86157681
2006,Actitis hypoleucos,68.80605403
2007,Actitis hypoleucos,73.67646026
2008,Actitis hypoleucos,65.61332502
2009,Actitis hypoleucos,69.08580973
2010,Actitis hypoleucos,69.02224235
2011,Actitis hypoleucos,74.39663223
2012,Actitis hypoleucos,63.60614606
2013,Actitis hypoleucos,78.87565222
2014,Actitis hypoleucos,64.11204943
2015,Actitis hypoleucos,59.53550776
2016,Actitis hypoleucos,63.71312532
2017,Actitis hypoleucos,60.51878668
2018,Actitis hypoleucos,61.89416784
2019,Actitis hypoleucos,62.69806271
2020,Actitis hypoleucos,66.28961999
2021,Actitis hypoleucos,59.70062792
1990,Phylloscopus trochilus,100
1991,Phylloscopus trochilus,93.99447428
1992,Phylloscopus trochilus,86.22898263
1993,Phylloscopus trochilus,81.31480066
1994,Phylloscopus trochilus,77.57666817
1995,Phylloscopus trochilus,84.12280194
1996,Phylloscopus trochilus,81.61814905
1997,Phylloscopus trochilus,80.89162204
1998,Phylloscopus trochilus,77.0635501
1999,Phylloscopus trochilus,76.19712002
2000,Phylloscopus trochilus,69.96214579
2001,Phylloscopus trochilus,67.52143314
2002,Phylloscopus trochilus,68.24343374
2003,Phylloscopus trochilus,65.06132867
2004,Phylloscopus trochilus,72.77777682
2005,Phylloscopus trochilus,70.08627816
2006,Phylloscopus trochilus,68.25055067
2007,Phylloscopus trochilus,66.9999845
2008,Phylloscopus trochilus,63.6767116
2009,Phylloscopus trochilus,63.16498031
2010,Phylloscopus trochilus,66.08779072
2011,Phylloscopus trochilus,66.67253155
2012,Phylloscopus trochilus,61.90250862
2013,Phylloscopus trochilus,64.23445229
2014,Phylloscopus trochilus,66.01460639
2015,Phylloscopus trochilus,62.36997347
2016,Phylloscopus trochilus,63.35699064
2017,Phylloscopus trochilus,64.21003113
2018,Phylloscopus trochilus,59.62750367
2019,Phylloscopus trochilus,64.31204925
2020,Phylloscopus trochilus,62.32001975
2021,Phylloscopus trochilus,61.6471995
1990,Falco tinnunculus,100
1991,Falco tinnunculus,100.1966737
1992,Falco tinnunculus,85.0059368
1993,Falco tinnunculus,103.6719581
1994,Falco tinnunculus,109.9020436
1995,Falco tinnunculus,81.48177127
1996,Falco tinnunculus,92.41471488
1997,Falco tinnunculus,87.24933444
1998,Falco tinnunculus,81.83995909
1999,Falco tinnunculus,83.35424736
2000,Falco tinnunculus,77.17139993
2001,Falco tinnunculus,71.00149163
2002,Falco tinnunculus,64.05995969
2003,Falco tinnunculus,60.42365509
2004,Falco tinnunculus,59.48217979
2005,Falco tinnunculus,67.8006008
2006,Falco tinnunculus,65.45653733
2007,Falco tinnunculus,59.35247906
2008,Falco tinnunculus,75.61367895
2009,Falco tinnunculus,59.84103074
2010,Falco tinnunculus,53.31198706
2011,Falco tinnunculus,59.31431229
2012,Falco tinnunculus,63.99307993
2013,Falco tinnunculus,58.49566741
2014,Falco tinnunculus,56.42801013
2015,Falco tinnunculus,65.56714996
2016,Falco tinnunculus,67.98724882
2017,Falco tinnunculus,65.45710705
2018,Falco tinnunculus,61.01617408
2019,Falco tinnunculus,67.75364006
2020,Falco tinnunculus,74.54249319
2021,Falco tinnunculus,69.24792475
1990,Motacilla alba,100
1991,Motacilla alba,104.933322
1992,Motacilla alba,85.13602074
1993,Motacilla alba,96.89055514
1994,Motacilla alba,92.30268806
1995,Motacilla alba,100.61012
1996,Motacilla alba,95.96980224
1997,Motacilla alba,103.7874637
1998,Motacilla alba,99.19145326
1999,Motacilla alba,93.40351445
2000,Motacilla alba,97.71758893
2001,Motacilla alba,96.63778608
2002,Motacilla alba,94.68869689
2003,Motacilla alba,97.28323235
2004,Motacilla alba,96.12319617
2005,Motacilla alba,96.54332449
2006,Motacilla alba,86.67248816
2007,Motacilla alba,92.00915034
2008,Motacilla alba,90.12151141
2009,Motacilla alba,86.35322039
2010,Motacilla alba,92.15170986
2011,Motacilla alba,92.99870765
2012,Motacilla alba,89.11888583
2013,Motacilla alba,83.52426925
2014,Motacilla alba,89.36233669
2015,Motacilla alba,87.43951116
2016,Motacilla alba,93.05543444
2017,Motacilla alba,88.84873082
2018,Motacilla alba,85.41148925
2019,Motacilla alba,87.51048798
2020,Motacilla alba,87.61211209
2021,Motacilla alba,82.63573168
1990,Spinus spinus,100
1991,Spinus spinus,93.00479455
1992,Spinus spinus,148.4127445
1993,Spinus spinus,135.7140814
1994,Spinus spinus,142.7046892
1995,Spinus spinus,117.0803869
1996,Spinus spinus,109.1976631
1997,Spinus spinus,170.2065294
1998,Spinus spinus,128.2452836
1999,Spinus spinus,110.606064
2000,Spinus spinus,96.49941043
2001,Spinus spinus,106.5910351
2002,Spinus spinus,148.3984287
2003,Spinus spinus,94.42758365
2004,Spinus spinus,105.4829755
2005,Spinus spinus,90.87749116
2006,Spinus spinus,70.31599666
2007,Spinus spinus,88.94104855
2008,Spinus spinus,76.42503821
2009,Spinus spinus,103.0453604
2010,Spinus spinus,102.9235678
2011,Spinus spinus,90.74925281
2012,Spinus spinus,108.5152381
2013,Spinus spinus,76.14738962
2014,Spinus spinus,77.87030282
2015,Spinus spinus,107.5214633
2016,Spinus spinus,73.52724248
2017,Spinus spinus,97.84591316
2018,Spinus spinus,81.75091325
2019,Spinus spinus,83.80258208
2020,Spinus spinus,98.99716141
2021,Spinus spinus,86.1766574
1990,Acrocephalus scirpaceus,100
1991,Acrocephalus scirpaceus,103.3251671
1992,Acrocephalus scirpaceus,117.2415656
1993,Acrocephalus scirpaceus,114.6713448
1994,Acrocephalus scirpaceus,120.6679811
1995,Acrocephalus scirpaceus,118.8680664
1996,Acrocephalus scirpaceus,115.384902
1997,Acrocephalus scirpaceus,114.7948725
1998,Acrocephalus scirpaceus,94.58035617
1999,Acrocephalus scirpaceus,96.80834189
2000,Acrocephalus scirpaceus,112.6033116
2001,Acrocephalus scirpaceus,104.2569038
2002,Acrocephalus scirpaceus,101.9109333
2003,Acrocephalus scirpaceus,90.84733851
2004,Acrocephalus scirpaceus,104.1475238
2005,Acrocephalus scirpaceus,101.9690547
2006,Acrocephalus scirpaceus,109.2605675
2007,Acrocephalus scirpaceus,98.4212758
